gametime,freekick,shooter_id,shooter_x,shooter_y,gk_id,gk_x,gk_y,shot_dist_goal,angle_to_goal,defender_infront,defender_around,goal,predictions_xgb
21.48,FALSE,1,48.548,-10.076,61,48.114,-9.09,10.823311877609367,15.580296336578254,0,3,0,0.19856983423233032
28.47,FALSE,1,30.712,-15.282,61,50.997,-1.105,26.61308828377496,12.926930879171195,2,0,0,0.041258301585912704
61.03,FALSE,1,35.228,-14.201,61,50.059,-1.397,22.360464776028248,14.564994893563144,1,2,0,0.026355229318141937
43.83,FALSE,1,-35.815,-3.046,201,-49.918,-2.05,16.960758856843643,24.003583209081356,2,2,0,0.04373307526111603
47.22,FALSE,1,-35.784,-11.998,201,-49.95,-2.341,20.576118681617288,16.6180254967214,2,2,0,0.03279339149594307
9.18,FALSE,1,42.384,-1.765,940,50.767,-2.509,10.268820818380268,38.81381185313802,1,1,0,0.1091407984495163
92.83,FALSE,1,44.132,-1.829,940,50.979,0.641,8.565551062249295,45.6052760076988,1,7,0,0.17542175948619843
40.63,FALSE,1,43.204,0.143,2059,50.704,-1.407,9.297099816609478,42.97287670447074,2,2,0,0.23941397666931152
47.23,FALSE,1,39.124,-9.281,2059,45.847,-5.244,16.28048945824418,21.259410942850973,1,1,1,0.08741611987352371
55.67,FALSE,1,25.942,11.651,2059,49.066,0.737,29.00126143808231,13.218012622097461,1,1,0,0.04865632951259613
94.98,FALSE,9,41.605,0.686,1785,51.665,0.148,10.916575516158906,37.01500881436139,1,3,0,0.04385395348072052
47.92,FALSE,10,-39.924,4.059,201,-50.947,2.373,13.21481203044523,29.72389068712525,4,0,0,0.15379460155963898
90.88,FALSE,10,-47.184,4.625,201,-52.015,0.49,7.046309743404701,47.02536224774738,1,3,0,0.11627793312072754
9.92,FALSE,10,43.004,1.459,940,52.252,-0.246,9.607429260733593,41.37742166195254,2,4,0,0.04394832253456116
2,FALSE,11,-49.445,-4.284,8042,-51.508,-0.598,5.261718445527088,57.420731628865575,1,4,0,0.2540372908115387
90.57,FALSE,11,43.213,1.506,13987,51.822,0.253,9.408315736623637,42.14363243463852,2,4,0,0.04677492752671242
102.78,FALSE,18,-17.804,6.667,1785,-49.297,0.271,35.33074164237144,11.62195646040939,2,1,0,0.04901969060301781
19.85,FALSE,20,41.532,10.682,13799,48.401,3.781,15.31019751668802,19.964727672633316,1,1,0,0.22941456735134125
